"index","route","family","dynamic","redirected","generic_import","classification","runtime_status","file","sha256"
"56","/revenue-command-center/campaigns/[id]/execution","campaigns","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/[id]/execution/page.tsx","f44517b657870ebfa829995b39a84e45a08e29fc661bab296567a026a7ab8d9b"
"57","/revenue-command-center/campaigns/[id]","campaigns","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/[id]/page.tsx","4ead3a848bd952009ff4dd5de9d2db48cb7ed9caccb58a4b621c94f5489c9b3c"
"58","/revenue-command-center/campaigns/[id]/performance","campaigns","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/[id]/performance/page.tsx","7ce33fc77a38b804f839c6fd8bd6f6c60d807ce592178db2417dd722408577dc"
"59","/revenue-command-center/campaigns/board","campaigns","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/board/page.tsx","84092bac3a4aadb2a117ef1a4713bd29f2167df9af3ebe7880ce3161409fa122"
"60","/revenue-command-center/campaigns/new","campaigns","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/new/page.tsx","ba3bc769c1ca8fa8b5f55ad403fd21e72eaae333bd7c9cd24b74181326302585"
"61","/revenue-command-center/campaigns","campaigns","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/campaigns/page.tsx","f9c4e3f75b22cdbcd6f742c0e18ee24adf0d0eeb75ff391ecf9de37c4ceeada5"
"62","/revenue-command-center/cockpit","cockpit","false","false","true","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/cockpit/page.tsx","ce12b38389dc2f5d5af48cb23fc84d1487f1903a3e011787417d754ff95c6bdd"
"63","/revenue-command-center/control-tower","control-tower","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/control-tower/page.tsx","f5e8fc918ac8ba40b70f77bc3f8cde0c951682babb49989ad59d48aa67d20d24"
"64","/revenue-command-center/daily-desk","daily-desk","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-desk/page.tsx","0059e1135a11b78a3558c802f1dd1fe2e143763d716d4e0b150f590fa6e862d9"
"65","/revenue-command-center/daily-tasks/[id]","daily-tasks","true","false","false","STATIC_ACCEPTED_DYNAMIC_RUNTIME_REQUIRED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-tasks/[id]/page.tsx","4441881782c4852968b8c700180bef72fe7cd3f1626f71ef865395ed85b1320d"
"66","/revenue-command-center/daily-tasks/agents","daily-tasks","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-tasks/agents/page.tsx","b9905e10722260fa190ab6d4e3103176c5d2cd191d26fb78eae7a46e7e89690e"
"67","/revenue-command-center/daily-tasks/analytics","daily-tasks","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-tasks/analytics/page.tsx","4d46d14ca2f9816d012e13bbc4eaf0a83fce7619f14937a7b2eabc57f026f4fa"
"68","/revenue-command-center/daily-tasks/approvals","daily-tasks","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-tasks/approvals/page.tsx","c7a214c426d459a4268b328c86398d7f2b117de6ea45bc0644b805fdb1c5cfe1"
"69","/revenue-command-center/daily-tasks/blocked","daily-tasks","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-tasks/blocked/page.tsx","43932d4eae80eb56d5b669537715b75d24f6f8115d55dbae6c39ced336a642f5"
"70","/revenue-command-center/daily-tasks/board","daily-tasks","false","false","false","STATIC_ACCEPTED","PENDING_AUTHENTICATED_PREVIEW","app/(protected)/revenue-command-center/daily-tasks/board/page.tsx","90771e038b4904b616b625a77de97c1f1cbda819b5690798864993f6fc31a2df"
